area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道央,空知,夕張市,入込総数,28.5,54.9,48.6,58.8,63,50.4,81.5,18.4,24.9,47.3,50,24.9,551.2,597.4,92.266488,
道央,空知,夕張市,内道外客,1.6,3.5,3,3.8,4,3.3,5.2,1.2,1.5,3,3.2,1.6,34.9,37.9,92.084433,
道央,空知,夕張市,内道内客,26.9,51.4,45.6,55,59,47.1,76.3,17.2,23.4,44.3,46.8,23.3,516.3,559.5,92.27882,
道央,空知,夕張市,内日帰客,22.2,46.3,40.8,47.7,52.5,41.4,74.4,16.8,20.8,38.9,42.8,21.3,465.9,515.5,90.378274,
道央,空知,夕張市,内宿泊客,6.3,8.6,7.8,11.1,10.5,9,7.1,1.6,4.1,8.4,7.2,3.6,85.3,81.9,104.151404,
道央,空知,夕張市,宿泊客延数,6.7,9.7,8.5,12,11.3,9.8,7.7,1.7,5.8,12,10.2,3.8,99.2,95.5,103.874346,
道央,空知,岩見沢市,入込総数,42.8,163,81.5,301.3,220.3,180.3,44.2,26.5,26.3,87,88.4,29.2,1290.8,1331.8,96.92146,
道央,空知,岩見沢市,内道外客,2.2,7,3.7,10.5,9.8,6.8,3.9,1.8,1.8,3.1,3.5,2.1,56.2,50.4,111.507937,
道央,空知,岩見沢市,内道内客,40.6,156,77.8,290.8,210.5,173.5,40.3,24.7,24.5,83.9,84.9,27.1,1234.6,1281.4,96.347745,
道央,空知,岩見沢市,内日帰客,39.5,158.5,76.4,295.6,213.6,174.7,38.5,21.5,21.9,81.4,83.2,23.9,1228.7,1267.6,96.931209,
道央,空知,岩見沢市,内宿泊客,3.3,4.5,5.1,5.7,6.7,5.6,5.7,5,4.4,5.6,5.2,5.3,62.1,64.2,96.728972,
道央,空知,岩見沢市,宿泊客延数,4.4,5.8,6.5,7.5,8.6,7.3,7.1,5.8,5.2,6.3,6.1,6.5,77.1,72.6,106.198347,
道央,空知,美唄市,入込総数,22.9,46.8,27.2,27.4,33.8,35.6,32.1,18.4,7,19.8,16.7,15,302.7,302.8,99.966975,
道央,空知,美唄市,内道外客,2.3,4.7,2.7,2.7,3.4,3.5,3.2,1.8,0.7,2,1.7,1.5,30.2,30.3,99.669967,
道央,空知,美唄市,内道内客,20.6,42.1,24.5,24.7,30.4,32.1,28.9,16.6,6.3,17.8,15,13.5,272.5,272.5,100,
道央,空知,美唄市,内日帰客,21.3,44.6,24.9,25,31.3,33,29.2,16.4,6.3,18.1,15.3,13.4,278.8,278.2,100.215672,
