area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道央,空知,夕張市,入込総数,17.6,49.3,49.0,61.3,64.2,41.5,70.9,15.1,29.3,49.8,42.2,43.9,534.1,489.1,109.20057248006543
道央,空知,夕張市,内道外客,1.0,3.1,3.0,3.9,4.1,2.7,4.5,1.0,1.8,3.1,2.7,2.9,33.800000000000004,31.1,108.68167202572347
道央,空知,夕張市,内道内客,16.6,46.199999999999996,46.0,57.4,60.1,38.8,66.4,14.1,27.5,46.699999999999996,39.5,41.0,500.3,458.0,109.23580786026201
道央,空知,夕張市,内日帰客,16.3,44.4,42.4,51.5,52.5,34.7,66.2,12.6,24.5,43.099999999999994,35.900000000000006,36.6,460.70000000000005,411.70000000000005,111.90187029390333
道央,空知,夕張市,内宿泊客,1.3,4.9,6.6,9.8,11.7,6.8,4.7,2.5,4.8,6.7,6.3,7.3,73.39999999999999,77.39999999999999,94.83204134366925
道央,空知,夕張市,宿泊客延数,1.4,5.6,7.1,10.5,12.6,7.5,5.0,2.7,6.7,9.5,9.0,7.7,85.30000000000001,90.3,94.46290143964563
道央,空知,岩見沢市,入込総数,43.4,155.4,85.7,217.1,192.6,143.8,63.4,28.4,31.9,83.4,67.6,32.7,1145.3999999999999,1194.9,95.85739392417774
道央,空知,岩見沢市,内道外客,2.2,6.9,3.5,8.4,7.8,5.8,3.9,1.8,1.6,2.0,2.5,1.9,48.3,56.7,85.18518518518518
道央,空知,岩見沢市,内道内客,41.199999999999996,148.5,82.2,208.7,184.79999999999998,138.0,59.5,26.599999999999998,30.299999999999997,81.4,65.1,30.800000000000004,1097.1,1138.2000000000003,96.38903531892458
道央,空知,岩見沢市,内日帰客,39.5,150.70000000000002,80.4,211.29999999999998,186.5,138.0,57.6,23.7,26.9,79.60000000000001,63.099999999999994,28.200000000000003,1085.5,1135.7,95.5798186140706
道央,空知,岩見沢市,内宿泊客,3.9,4.7,5.3,5.8,6.1,5.8,5.8,4.7,5.0,3.8,4.5,4.5,59.9,59.20000000000001,101.1824324324324
道央,空知,岩見沢市,宿泊客延数,4.6,5.5,6.4,6.9,7.3,6.8,6.5,5.3,6.1,4.2,5.2,5.1,69.89999999999999,73.80000000000001,94.71544715447152
